CO_PAIS,NO_PAIS_POR,NO_PAIS_ING,NO_PAIS_ESP,NO_PAIS_FRA,CO_PAIS_ISON3,CO_PAIS_ISOA3
000,Não Definido,Not defined,No definido,Non défini,898,ZZZ
013,Afeganistão,Afghanistan,Afganistan,Afghanistan,004,AFG
015,"Aland, Ilhas",Aland Islands,"Alans, Islas",Îles Aland,248,ALA
017,Albânia,Albania,Albania,Albanie,008,ALB
020,"Alboran-Perejil, Ilhas","Alboran-Perejil, Islands","Alboran-Perejil, Islas",Îles Alboran-Perejil,724,ESP
023,Alemanha,Germany,Alemania,Allemagne,276,DEU
025,Alemanha Oriental,East Germany,Alemania del Este,Allemagne de l'Est,278,DEU
031,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,854,BFA
037,Andorra,Andorra,Andorra,Andorre,020,AND
040,Angola,Angola,Angola,Angola,024,AGO
041,Anguilla,Anguilla,Anguilla,Anguilla,660,AIA
043,Antígua e Barbuda,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,028,ATG
047,Antilhas Holandesas,Netherlands Antilles,Antillas Holandesas,Antilles,530,ANT
053,Arábia Saudita,Saudi Arabia,Arabia Saudita,Arabie Saoudite,682,SAU
059,Argélia,Algeria,Argelia,Algérie,012,DZA
063,Argentina,Argentina,Argentina,Argentine,032,ARG
064,Armênia,Armenia,Armenia,Arménie,051,ARM
065,Aruba,Aruba,Aruba,Aruba,533,ABW
069,Austrália,Australia,Australia,Australie,036,AUS
072,Áustria,Austria,Austria,Autriche,040,AUT
073,Azerbaijão,Azerbaijan,Acerbaiyan,Azerbaidjan,031,AZE
077,Bahamas,Bahamas,Bahamas,Bahamas,044,BHS
080,Barein,Bahrein,Bahrein,Bahrein,048,BHR
081,Bangladesh,Bangladesh,Bangladesh,Bangladesh,050,BGD
083,Barbados,Barbados,Barbados,Barbade,052,BRB
085,Belarus,Belarus,Belarús,Biélorussie,112,BLR
087,Bélgica,Belgium,Bélgica,Belgique,056,BEL
088,Belize,Belize,Belice,Belize,084,BLZ
090,Bermudas,Bermuda,Bermuda,Bermudes,060,BMU
093,Mianmar,Myanmar,Myanmar,Myanmar,104,MMR
097,Bolívia,Bolivia,Bolivia,Bolivie,068,BOL
098,Bósnia-Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,070,BIH
099,"Bonaire, Saint Eustatius e Saba","Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius y Saba","Bonaire, Saint Eustatius et Saba",537,BES
100,Internação na Zona Franca de Manaus,Internment in the Manaus Free Trade Zone,Internamiento de la Zona Franca de Manaus,Internationalisation dans la Zona Franca de Manaus,076,BRA
101,Botsuana,Botswana,Botswana,Botswana,072,BWA
102,"Bouvet, Ilha",Bouvet Island,"Bouvet, Isla",île Bouvet,074,BVT
105,Brasil,Brazil,Brasil,Brésil,076,BRA
108,Brunei,Brunei,Brunei,Brunei,096,BRN
111,Bulgária,Bulgaria,Bulgaria,Bulgarie,100,BGR
115,Burundi,Burundi,Burundi,Burundi,108,BDI
119,Butão,Bhutan,Bhután,Bhoutan,064,BTN
127,Cabo Verde,Cape Verde,Cabo Verde,Cap-Vert,132,CPV
137,"Cayman, Ilhas",Cayman Islands,"Caimán, Islas",Îles Caimans,136,CYM
141,Camboja,Cambodia,Camboya,Cambodge,116,KHM
145,Camarões,Cameroon,Camerún,Cameroun,120,CMR
149,Canadá,Canada,Canadá,Canada,124,CAN
150,"Canal, Ilhas do (Guernsey)",Guernsey,Guernsey,Îles Anglo-Normandes (Guernsey),831,GGY
151,"Canárias, Ilhas","Canary, Islands","Canarias, Islas",Îles Canaries,724,ESP
152,"Canal, Ilhas do (Jersey)",Jersey,Jersey,Îles Anglo-Normandes,826,GBR
153,Cazaquistão,Kazakhstan,Kazakhstán,Kazakhstan,398,KAZ
154,Catar,Qatar,Qatar,Qatar,634,QAT
158,Chile,Chile,Chile,Chili,152,CHL
160,China,China,China,Chine,156,CHN
161,Taiwan (Formosa),Taiwan,Taiwán,Taiwan,158,TWN
163,Chipre,Cyprus,Chipre,Chypre,196,CYP
165,"Cocos (Keeling), Ilhas",Cocos (Keeling) Islands,"Cocos (Keeling), Islas",Cocos (Kelling),166,CCK
169,Colômbia,Colombia,Colombia,Colombie,170,COL
173,Comores,Comoros,Comoras,Comores,174,COM
177,Congo,Congo,Congo,Congo,178,COG
183,"Cook, Ilhas",Cook Islands,"Cook, Islas",Îles Cook,184,COK
187,Coreia do Norte,North Korea,Corea (Norte),Corée du Nord,408,PRK
190,Coreia do Sul,South Korea,Corea (Sur),Corée du Sud,410,KOR
193,Costa do Marfim,Cote D'Ivore,Costa de Marfil,Côte-d'Ivoire,384,CIV
195,Croácia,Croatia,Croacia,Croatie,191,HRV
196,Costa Rica,Costa Rica,Costa Rica,Costa Rica,188,CRI
198,Coveite (Kuweit),Kuwait,Kuwait,Koweït,414,KWT
199,Cuba,Cuba,Cuba,Cuba,192,CUB
200,Curaçao,Curaçao,Curazao,Curaçao,531,CUW
229,Benin,Benin,Benin,Bénin,204,BEN
232,Dinamarca,Denmark,Dinamarca,Danemark,208,DNK
235,Dominica,Dominica Island,Dominica,Île de la Dominique,212,DMA
237,Dubai,Dubai,Dubai,Dubaï,784,ARE
239,Equador,Ecuador,Ecuador,Equateur,218,ECU
240,Egito,Egypt,Egipto,Égypte,818,EGY
243,Eritreia,Eritrea,Eritrea,Erythrée,232,ERI
244,Emirados Árabes Unidos,United Arab Emirates,Emiratos Árabes Unidos,Émirats Arabes Unis,784,ARE
245,Espanha,Spain,España,Espagne,724,ESP
246,Eslovênia,Slovenia,Eslovenia,Slovénie,705,SVN
247,Eslováquia,Slovakia,Eslovaquia,Slovaquie,703,SVK
249,Estados Unidos,United States,Estados Unidos,États-Unis,840,USA
251,Estônia,Estonia,Estonia,Estonie,233,EST
253,Etiópia,Ethiopia,Etiopía,Ethiopie,231,ETH
255,Falkland (Malvinas),Falkland Islands (Malvinas),"Malvinas (Falkland), Islas",Îles Malvinas (Falkland),238,FLK
259,"Faroe, Ilhas",Faroe Islands,"Feroé, Islas",Îles Féroé,234,FRO
267,Filipinas,Philippines,Filipinas,Philippines,608,PHL
271,Finlândia,Finland,Finlandia,Finlande,246,FIN
275,França,France,Francia,France,250,FRA
281,Gabão,Gabon,Gabón,Gabon,266,GAB
285,Gâmbia,Gambia,Gambia,Gambie,270,GMB
289,Gana,Ghana,Ghana,Ghana,288,GHA
291,Geórgia,Georgia,Georgia,Géorgie,268,GEO
293,Gibraltar,Gibraltar,Gibraltar,Gibraltar,292,GIB
297,Granada,Grenada,Granada,Grenade,308,GRD
301,Grécia,Greece,Grecia,Grèce,300,GRC
305,Groenlândia,Greenland,Groenlandia,Groenland,304,GRL
309,Guadalupe,Guadeloupe,Guadalupe,Guadalupe,312,GLP
313,Guam,Guam,Guam,Guam,316,GUM
317,Guatemala,Guatemala,Guatemala,Guatemala,320,GTM
325,Guiana Francesa,French Guyana,Guyana Francesa,Guyane Française,254,GUF
329,Guiné,Guinea,Guinea,Guinée,324,GIN
331,Guiné Equatorial,Equatorial Guinea,Guinea Ecuatorial,Guinée Équatoriale,226,GNQ
334,Guiné-Bissau,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,624,GNB
337,Guiana,Guyana,Guyana,Guyane,328,GUY
341,Haiti,Haiti,Haiti,Haïti,332,HTI
