CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
01011010,Cavalos reprodutores de raça pura,Pure-bred breeding horses,Caballos reproductores de raza pura,Chevaux reproducteurs de race pure
01011090,"Animais da espécie asinina/muar, reprodutores, raça pura","Asses/mules/hinnies animals, pure-bred breeding","Asnos, mulos y burdéganos, reprod.de raza pura","Mules, reproducteurs de race pure"
01011100,"Cavalos reprodutores, de raça pura",Pure-bred breeding horses,Caballos reproductores de raza pura,"Chevaux reproducteurs, de race pure"
01011900,"Outros cavalos, vivos",Other live horses,Los demás caballos vivos,"Autres chevaux, vivent"
01012000,Asininos e muares vivos,"Live asses, mules and hinnies","Asnos, mulos y burdéganos, vivos","Les ânes et les mulets, vivent"
01012100,Cavalos reprodutores de raça pura,Pure-bred horses,"Caballos de pura raza, para procreación",Chevaux reproducteurs de race pure
01012900,"Cavalos, exceto reprodutores de raça pura","Lives horses, except pure-bred breeding","Caballos vivos, excepto reproductores de raza pura","Chevaux vivants, autres que reproducteurs de race pure"
01013000,"Animais espécie asinina/muar, reprodutores de raça pura","Asses, pure-bred breeding","Especies asnales/muar, de raza pura, para procreación","Mules, reproducteurs de race pure"
01019000,"Animais espécie asinina/muar, exceto reprodutores de raça pura","Asses, except pure-bred breeding","Especies asnales/muar, de raza pura,ex.para procreación","Mules, à l'exception reproducteurs de race pure"
01019010,"Cavalos vivos, exceto reprodutores raça pura","Live horses, except pure-bred breeding","Caballos vivos,  excepto reproductores de raza pura","Chevaux vivants, autres que reproducteurs de race pure"
01019090,"Animais espécie asinina/muar, exceto reprodutores de raça pura pura","Asses/mules/hinnies, except pure-bred breeding","Asnos, mulos y burdéganos, exc.reprod.raza pura","Mules, à l'exception reproducteurs de race pure"
01021010,"Bovinos reprodutores de raça pura, prenhe ou cria ao pé","Pure-bred breeding bovine, pregnant or lactating","Bovinos reproduct.de raza pura, preñad.o c/cría al pie","Bovins destinés à la reproduction, les femmes enceintes ou avec oisillon"
01021090,Outros bovinos reprodutores de raça pura,Other pure-bred breeding bovines,Otros bovinos reproductores de raza pura,Autres bovins reproducteurs de race pure
01022110,"Bovinos reprodutores raça pura, prenhe ou com cria ao pé","Purebred breeding cattle, pregnant or lactating","Bovinos repoductores de pura raza, embarazado","Les bovins reproducteurs de race pure, enceinte ou avec oisillon"
01022190,Outros bovinos reprodutores de raça pura,"Other pure-bred cattle, for breeding",Otros bovinos procreadores de pura raza,Autres bovins reproducteurs de race pure
